"compressor","file","function","time"
"split","boltzmann_large","compress",3.0051591396331787
"split","boltzmann_large","decompress",2.4764537811279297
"split","boltzmann_large","transmitCompressed",0.0023834705352783203
"split","boltzmann_large","transmitDecompressed",0.0
"split","boltzmann_medium","compress",0.30210328102111816
"split","boltzmann_medium","decompress",0.2515413761138916
"split","boltzmann_medium","transmitCompressed",0.0
"split","boltzmann_medium","transmitDecompressed",0.0
"split","boltzmann_small","compress",0.005030632019042969
"split","boltzmann_small","decompress",0.0031785964965820312
"split","boltzmann_small","transmitCompressed",0.0
"split","boltzmann_small","transmitDecompressed",0.0
"split","boltzmann_superLarge","compress",11.735612869262695
"split","boltzmann_superLarge","decompress",10.787413835525513
"split","boltzmann_superLarge","transmitCompressed",0.015873432159423828
"split","boltzmann_superLarge","transmitDecompressed",0.0
"split","largeInt_large","compress",3.0310988426208496
"split","largeInt_large","decompress",2.374293088912964
"split","largeInt_large","transmitCompressed",0.0
"split","largeInt_large","transmitDecompressed",0.0
"split","largeInt_medium","compress",0.28211522102355957
"split","largeInt_medium","decompress",0.2365093231201172
"split","largeInt_medium","transmitCompressed",0.0
"split","largeInt_medium","transmitDecompressed",0.0
"split","largeInt_small","compress",0.0025169849395751953
"split","largeInt_small","decompress",0.0
"split","largeInt_small","transmitCompressed",0.0
"split","largeInt_small","transmitDecompressed",0.0
"split","largeInt_superLarge","compress",11.418510675430298
"split","largeInt_superLarge","decompress",9.665651798248291
"split","largeInt_superLarge","transmitCompressed",0.01570725440979004
"split","largeInt_superLarge","transmitDecompressed",0.0
"split","smallInt_large","compress",1.9663419723510742
"split","smallInt_large","decompress",2.1174449920654297
"split","smallInt_large","transmitCompressed",0.0
"split","smallInt_large","transmitDecompressed",0.0
"split","smallInt_medium","compress",0.18628573417663574
"split","smallInt_medium","decompress",0.21642279624938965
"split","smallInt_medium","transmitCompressed",0.0
"split","smallInt_medium","transmitDecompressed",0.0
"split","smallInt_small","compress",0.0030188560485839844
"split","smallInt_small","decompress",0.003014802932739258
"split","smallInt_small","transmitCompressed",0.0
"split","smallInt_small","transmitDecompressed",0.0
"split","smallInt_superLarge","compress",7.5868306159973145
"split","smallInt_superLarge","decompress",8.406734228134155
"split","smallInt_superLarge","transmitCompressed",0.006066083908081055
"split","smallInt_superLarge","transmitDecompressed",0.003073453903198242
"nosplit","boltzmann_large","compress",2.7635068893432617
"nosplit","boltzmann_large","decompress",2.565365791320801
"nosplit","boltzmann_large","transmitCompressed",0.006154537200927734
"nosplit","boltzmann_large","transmitDecompressed",0.0
"nosplit","boltzmann_medium","compress",0.27677416801452637
"nosplit","boltzmann_medium","decompress",0.26258182525634766
"nosplit","boltzmann_medium","transmitCompressed",0.0
"nosplit","boltzmann_medium","transmitDecompressed",0.0
"nosplit","boltzmann_small","compress",0.0030257701873779297
"nosplit","boltzmann_small","decompress",0.0
"nosplit","boltzmann_small","transmitCompressed",0.0
